city,count
באר מילכה,2 
באר שבע,133 
בארות יצחק,28 
בארותיים,14 
בארי,49 
בוסתן הגליל,56 
בועיינה-נוג'ידאת,18 
בוקעתא,26 
בורגתה,13 
בחן,8 
בטחה,21 
ביצרון,63 
ביר אלמכסור,29 
ביר הדאג' והפזורה,2 
ביר הדאג',8 
ביריה,109 
בית אורן,14 
בית אל,62 
בית אלעזרי,51 
בית אלפא וחפציבה,6 
בית אריה,10 
בית ברל,15 
בית ג'אן,23 
בית גוברין,6 
בית גמליאל,53 
בית דגן,70 
בית הגדי,51 
בית הלוי,11 
בית הלל,267 
בית העלמין החדש נהריה,33 
בית העלמין החדש עכו,57 
בית העמק,37 
בית הערבה,4 
בית השיטה,6 
בית זית,20 
בית זרע,7 
בית חגי,3 
בית חורון,5 
בית חזון,9 
בית חלקיה,33 
בית חנן,68 
בית חנניה,9 
בית חרות,9 
בית חשמונאי,16 
בית יהושע,13 
בית יוסף,4 
בית ינאי,9 
בית יצחק - שער חפר,13 
בית ירח,8 
בית יתיר,10 
בית לחם הגלילית,19 
בית מאיר,10 
בית נחמיה,13 
בית ניר,11 
בית נקופה,17 
בית סוהר השרון,8 
בית סוהר מגידו,7 
בית סוהר נפחא,4 
בית סוהר צלמון,7 
בית סוהר קישון,20 
בית סוהר שיטה וגלבוע,6 
בית ספר אורט בנימינה,10 
בית ספר שדה מירון,64 
בית עובד,59 
בית עוזיאל,23 
בית עזרא,53 
בית עלמין מורשה,15 
בית עלמין תל רגב,19 
בית עריף,16 
בית צבי,13 
בית קמה,7 
בית קשת,7 
בית רימון,12 
בית שאן,9 
בית שמש,20 
בית שערים,14 
בית שקמה,50 
ביתן אהרן,9 
ביתר עילית,27 
בלפוריה,10 
בן זכאי,35 
בן עמי,106 
בן שמן,18 
בני ברק,55 
בני דקלים,8 
בני דרום,45 
בני דרור,14 
בני יהודה וגבעת יואב,11 
בני נצרים,55 
בני עטרות,23 
בני עי''ש,73 
בני ציון,14 
בני ראם,48 
בניה,48 
בנימינה,17 
בסמת טבעון,22 
בענה,40 
בצרה,17 
בצת,243 
בקוע,17 
בקעות,2 
בר גיורא,16 
בר יוחאי,55 
ברוכין,8 
ברור חיל,8 
ברוש,21 
ברטעה,5 
ברכיה,41 
ברעם,142 
ברקאי,5 
ברקן,8 
ברקת,16 
בת הדר,53
בת חן,9 
בת חפר,9 
בת ים,13 
בת עין,9 
בת שלמה,13 
בת-ים,65 
בתי מלון ים המלח,11 
ג'דידה מכר,82 
ג'וליס,31 
ג'לג'וליה,19 
ג'סר א-זרקא,10 
ג'ש - גוש חלב,109 
ג'ת,48 
גאולי תימן,8 
גאולים,14 
גאליה,59 
גבולות,12 
גבים,87 
גבע בנימין,5 
גבע כרמל,12 
גבעולים,29 
גבעון החדשה,5 
גבעות בר,18 
גבעות גורל,7 
גבעות עדן,14 
גבעות,50 
גבעת אבני,19 
גבעת אלה,16 
גבעת אסף,4 
גבעת ברנר,57 
גבעת הראל וגבעת הרואה,4 
גבעת השלושה,29 
גבעת וולפסון,18 
גבעת וושינגטון,36 
גבעת זאב,8 
גבעת חביבה,12 
גבעת חיים איחוד,10 
גבעת חיים מאוחד,11 
גבעת חן,31 
גבעת יערים,20 
גבעת ישעיהו,20 
גבעת כ''ח,18 
גבעת ניל''י,9 
גבעת עדה,11 
גבעת עוז,6 
גבעת שמואל,42 
גבעת שפירא,9 
גבעתי,94 
גבעתיים,56 
גברעם,30 
גבת,18 
גדות,41 
גדעונה,5 
גדרה,72 
גונן,56 
גורן,137 
גורנות הגליל,112 
גזית,6 
גזר,23 
גיאה,42 
גיבתון,54 
גיזו,10 
גילת,32 
גינוסר,7 
גינתון,16 
גיתה,23 
גיתית,2 
גלאון,17 
גלגל,2 
גלעד,363 
גמזו,15 
גן הדרום,53 
גן השומרון,15 
גן חיים,16 
גן יאשיה,11 
גן יבנה,79 
גן נר,4 
גן שורק,81 
גן שלמה,46 
גן שמואל,9 
גנות הדר,13 
גנות,76 
גני הדר,37 
גני חוגה,5 
גני טל,29 
גני יוחנן,25 
גני עם,21 
גני תקווה,38 
גניגר,13 
געש,12 
געתון,49 
גפן,38 
גרופית,1 
גשור,8 
גשר הזיו,161 
גשר,169 
גת רימון,29 
גת,112 
דבוריה,7 
דביר,7 
דברת,10 
דגניה א,8 
דגניה ב,8 
דוב''ב,111 
דוגה,3 
דוגית,3 
דולב,5 
דור,80 
דורות,10 
דחי,9 
דימונה,21 
דיר אל-אסד,40 
דיר חנא,10 
דישון,173 
דליה,10 
דלית אל כרמל,25 
דלתון,141 
דמיידה,18 
דניאל,63 
דפנה,146 
דקל,26 
האון,9 
הבונים,14 
הגושרים,201 
הדר עם,11 
הוד השרון,38 
הודיה,34 
הודיות,18 
הושעיה,15 
הזורעים,8 
החותרים,20 
היוגב,12 
היישוב היהודי חברון,7 
הילה,50 
המעפיל,8 
המרכז האקדמי רופין,12 
הסוללים,19 
העוגן,10 
הר אדר,8 
הר ברכה,3 
הר גילה,17 
הר הנגב,9 
הר חלוץ,19 
הר עמשא,13 
הר-חלוץ,5 
הראל,15 
הרדוף,16 
הרצליה,47 
הררית יחד,6 
ואדי אל חמאם,9 
ואדי אל נעם דרום,30 
ורד יריחו,4 
ורדון,6 
זבדיאל,12 
זוהר,38 
זיקים,202 
זיתן,36 
זכרון יעקב,14 
זכריה,9 
זמר,195 
זמרת,81 
זנוח,20 
זרועה,8 
זרזיר,18 
זרחיה,13 
זרעית,204 
ח'וואלד,22 
חבצלת השרון וצוקי ים,9 
חברון,11 
חג'אג'רה,21 
חגור,20 
חגלה,10 
חד נס,6 
חדיד,13 
חדרה - נווה חיים,7 
חדרה,15 
חוואלד,16 
חוות אירוח גורן,27 
חוות גלעד,7 
חוות יאיר,8 
חוות יזרעם,42 
חוות עדן,4 
חוות שדה בר,2 
חוות שיקמים,17 
חולדה,19 
חולון,105 
חולית,86 
חולתה,35 
חוסן,42 
חוסנייה,17 
חוף אמנון,5 
חוף בצת,70 
חוף גולן,3 
חוף גופרה,6 
חוף זיקים,4 
חוף כורסי,5 
חוף כינר,3 
חוף ניצנים,4 
חוף סוסיתא,6 
חוף קליה,4 
חופית,9 
חוקוק,6 
חורה,24 
חורפיש,65 
חורשים,15 
חזון,17 
חי-בר יטבתה,1 
חיבת ציון,8 
חיננית,6 
חיפה - כרמל ועיר תחתית,2 
חיפה,100 
חירן,17 
חלוקים,5 
חלמיש,7 
חלץ,15 
חמד,90 
חמדיה,5 
חמדת,2 
חמרה,2 
חמת גדר,13 
חניאל,12 
חניון הנתיב מהיר,10 
חניתה,208 
חנתון,16 
חפץ חיים,30 
חצב,109 
חצבה,6 
חצור הגלילית,79 
חצור,131 
חצרים,69 
חרב לאת,9 
חרוצים,10 
חרות,24 
חריש,6 
חרמש,3 
חרשה,6 
חרשים,22 
חשמונאים,9 
טבחה,4 
טבריה,21 
טובא זנגריה,27 
טורעאן,15 
טייבה בגלבוע,6 
טייבה,17 
טירה,13 
טירת יהודה,18 
טירת כרמל,25 
טירת צבי,3 
טל - אל,27 
טל מנשה,6 
טל שחר,17 
טללים,9 
טלמון,6 
טמרה בגלבוע,6 
טמרה,52 
טנא עומרים,12 
טפחות,12 
יבול,52 
יבנאל,6 
יבנה,169 
יגור,21 
יגל,37 
יד בנימין,32 
יד השמונה,13 
יד חנה,10 
יד מרדכי,112 
יד נתן,20 
יד רמב''ם,29 
יהוד מונוסון,14 
יהוד-מונוסון,30 
יהל,1 
יובלים,19 
יודפת,21 
יונתן,6 
יושיביה,32 
יזרעאל,6 
יחיעם,41 
יטבתה,1 
ייט''ב,2 
יכיני,9 
ינוב,14 
ינוח ג'ת,36 
ינוח-ג'ת,5 
ינון,31 
יסוד המעלה,44 
יסודות,21 
יסעור,30 
יעד,54 
יעף,10 
יערה,174 
יערות הכרמל,18 
יפיע,15 
יפית,2 
יפעת,16 
יפתח,180 
יצהר,4 
יציץ,29 
יקום,11 
יקיר,7 
יקנעם המושבה והזורע,20 
יקנעם עילית,27 
יראון,140 
ירדנה,5 
ירוחם,10 
ירושלים - אזור תעשייה עטרות,2 
ירושלים - כפר עקב,2 
ירושלים,39 
ירחיב,17 
ירכא,51 
ירקונה,24 
ישובי אומן,7 
ישובי יעל,6 
ישע,128 
ישעי,26 
ישרש,52 
יתד,31 
כאבול,27 
כאוכב אבו אלהיג'א,21
כברי,97 
כדורי,6 
כוכב השחר,4 
כוכב יאיר - צור יגאל,12 
כוכב יעקב,3 
כוכב מיכאל,12 
כורזים ורד הגליל,25 
כחל,10 
כינרת מושבה,9 
כינרת קבוצה,9 
כיסופים,264 
כיסרא סמיע,6 
כישור,27 
כלא דמון,18 
כליל,59 
כלנית,7 
כמהין,2 
כמון,9 
כנות,57 
כנף,5 
כסייפה והפזורה,44 
כסייפה,50 
כסלון,17 
כסרא סמיע,32 
כעביה טבאש,18 
כעביה,20 
כפר אביב,49 
כפר אדומים,5 
כפר אוריה,11 
כפר אחים,45 
כפר אלדד,7 
כפר ביאליק,50 
כפר ביל''ו,36 
כפר בלום,92 
כפר בן נון,15 
כפר ברא,17 
כפר ברוך,19 
כפר גדעון,10 
כפר גלים,24 
כפר גליקסון,8 
כפר גלעדי,346 
כפר גמילה מלכישוע,3 
כפר דניאל,15 
כפר האורנים,8 
כפר החורש,14 
כפר המכבי,26 
כפר הנגיד,48 
כפר הנוער ימין אורד,15 
כפר הנוער קריית יערים,4 
כפר הנוקדים,6 
כפר הנשיא,21 
כפר הס,14 
כפר הרא''ה,8 
כפר הרי''ף וצומת ראם,42 
כפר ויתקין,9 
כפר ורבורג,46 
כפר ורדים,53 
כפר זוהרים,6 
כפר זיתים,14 
כפר חב''ד,49 
כפר חיטים,10 
כפר חיים,10 
כפר חנניה,7 
כפר חסידים,27 
כפר חרוב,10 
כפר טבאש,19 
כפר טרומן,15 
כפר יאסיף,30 
כפר ידידיה,11 
כפר יהושע,18 
כפר יובל,252 
כפר יונה,19 
כפר יחזקאל,6 
כפר יסיף,3 
כפר יעבץ,11 
כפר כמא,9 
כפר כנא,12 
כפר מונש,12 
כפר מימון ותושיה,53 
כפר מל''ל,21 
כפר מנדא,23 
כפר מנחם,19 
כפר מסריק,107 
כפר מצר,6 
כפר מרדכי,49 
כפר נהר הירדן,19 
כפר נוער בן שמן,12 
כפר נחום,7 
כפר נטר,12 
כפר סאלד,81 
כפר סבא,32 
כפר סילבר,41 
כפר סירקין,25 
כפר עבודה,21 
כפר עזה,130 
כפר עציון,10 
כפר פינס,4 
כפר קאסם,19 
כפר קיש,6 
כפר קרע,8 
כפר רופין,4 
כפר רות,8 
כפר שמאי,33 
כפר שמואל,22 
כפר שמריהו,24 
כפר תבור,6 
כפר תפוח,3 
כפר תקווה,20 
כרכום,10 
כרם ביבנה,48 
כרם בן זמרה,108 
כרם מהר''ל,13 
כרם רעים,6 
כרם שלום,116 
כרמי גת,55 
כרמי יוסף,18 
כרמי צור,9 
כרמי קטיף,7 
כרמיאל,51 
כרמיה,145 
כרמים,13 
כרמית,13 
כרמל,109 
לב החולה,27 
לבון,52 
לביא,19 
לבנון,5 
לבנים,7 
להב,81 
להבות הבשן,62 
להבות חביבה,6 
להבים,9 
לוד,57 
לוזית,7 
לוחמי הגטאות,70 
לוטם וחמדון,6 
לוטן,1 
לטרון,8 
לימן,200 
לכיש,15 
לפיד,39 
לפידות,31 
לקיה והפזורה,42 
לקיה,82 
מאור,16 
מאיר שפיה,13 
מבוא ביתר,26 
מבוא דותן,3 
מבוא חורון,6 
מבוא חמה,9 
מבוא מודיעים,9 
מבואות יריחו,2 
מבועים,5 
מבטחים,102 
מבקיעים,115 
מבשרת ציון,23 
מג'דל כרום,46 
מג'דל שמס,41 
מגדים,18 
מגדל העמק,18 
מגדל עוז,8 
מגדל תפן,31 
מגדל,70 
מגדלים,2 
מגל,5 
מגן שאול,4 
מגן,64 
מגרון,4 
מגשימים,46 
מדרך עוז,9 
מדרשת בן גוריון,11 
מודיעין - ישפרו סנטר,14 
מודיעין - ליגד סנטר,9 
מודיעין מכבים רעות,7 
מודיעין עילית,9 
מודיעין,27 
מולדת,6 
מועאוויה,8 
מוצא עילית,16 
מוקיבלה,5 
מורן,8 
מורשת,18 
מזור,25 
מזכרת בתיה,39 
מזרע,89 
מזרעה,78 
מחולה,4 
מחניים,42 
מחסיה,16 
מטווח ניר עם,177 
מטולה,364 
מטע,18 
מי עמי,9 
מיידי ומציל חיים.,3 
מייסר,4 
מיני ישראל - נחשון,8 
מיצד,6 
מיצר,13 
מירב,3 
מירון,116 
מישר,48 
מיתר,26 
מכון וינגייט,9 
מכורה,2 
מכללת ספיר,70 
מכמורת,6 
מכמנים,14 
מלון אחוזת ירדן,9 
מלון פרא,9 
מלונות ים המלח מרכז,11 
מלילות,29 
מלכיה,199 
ממשית,14 
מנוחה,17 
מנוף,20 
מנות,83 
מנחמיה,8 
מנחת מחניים,35 
מנרה,299 
מנשית זבדה,15 
מסד,23 
מסדה,8 
מסילות,6 
מסילת ציון,7 
מסלול,35 
מסעדה,40 
מע'אר,12 
מעברות,9 
מעגלים,29 
מעגן מיכאל,10 
מעגן,18 
מעוז חיים,5 
מעון צופיה,27 
מעון,37 
מעונה,55 
מעיין ברוך,236 
מעיין צבי,11 
מעיליא,62 
מעלה אדומים,6 
מעלה אפרים,3 
מעלה גלבוע,5 
מעלה גמלא,6 
מעלה החמישה,15 
מעלה חבר,9 
מעלה לבונה,4 
מעלה מכמש,4 
מעלה עירון,8 
מעלה עמוס,7 
מעלה צביה,12 
מעלה רחבעם,7 
מעלות תרשיחא,65 
מענית,13 
מעש,33 
מפלסים,127 
מפעל אגריגדה,7 
מצדה,13
מצובה,169 
מצוק עורבים,12 
מצוקי דרגות,6 
מצליח,45 
מצפה אבי''ב,20 
מצפה אילן,4 
מצפה יריחו,5 
מצפה נטופה,16 
מצפה רמון,2 
מצפה שלם,6 
מצפה,62 
מצר,10 
מקווה ישראל,47 
מרגליות,409 
מרום גולן,27 
מרחב עם,7 
מרחביה מושב,8 
מרחביה קיבוץ,7 
מרחצאות עין גדי,7 
מרכז אזורי דרום השרון,25 
מרכז אזורי מבואות חרמון,152 
מרכז אזורי מגילות,4 
מרכז אזורי מרום גליל,48 
מרכז אזורי משגב,23 
מרכז חבר,7 
מרכז ימי קיסריה,10 
מרכז מיר''ב,12 
מרכז שפירא,29 
מרעית,30 
משאבי שדה,9 
משגב דב,55 
משגב עם,387 
משהד,13 
משואה,2 
משואות יצחק,28 
משכיות,3 
משמר איילון,19 
משמר דוד,18 
משמר הירדן,38 
משמר הנגב,22 
משמר העמק,9 
משמר השבעה,70 
משמר השרון,9 
משמרות,6 
משמרת,13 
משען,38 
מתחם בני דרום,34 
מתחם סקי גלבוע,3 
מתחם פי גלילות,31 
מתחם צומת שוקת,15 
מתחם שביל התפוזים,7 
מתן,17 
מתת,92 
מתתיהו,8 
נאות גולן,11 
נאות הכיכר,7 
נאות מרדכי,74 
נאות סמדר,1 
נאות קדומים,7 
נאעורה,5 
נבטים,37 
נבי סמואל,6 
נבי שועייב,13 
נגבה,22 
נגוהות,9 
נהורה,19
נהלל,19 
נהריה,233 
נוב,29 
נוגה,16 
נוה איתן,5 
נווה אור,6 
נווה אטי''ב,32 
נווה אילן,14 
נווה דניאל,17 
נווה זוהר,10 
נווה זיו,95 
נווה חריף,1 
נווה ים,16 
נווה ימין,18 
נווה ירק,23 
נווה מבטח,49 
נווה מיכאל - רוגלית,16 
נווה שלום,7 
נווה,355 
נועם,6 
נוף איילון,11 
נוף הגליל,17 
נופי נחמיה,4 
נופי פרת,6 
נופים,8 
נופית,19 
נופך,24 
נוקדים,13 
נורדיה,13 
נורית,4 
נחושה,5 
נחל עוז,221 
נחלה,17 
נחליאל,6 
נחלים,28 
נחם,141 
נחף,30 
נחשולים,14 
נחשון,12 
נחשונים,19 
נטועה,122 
נטור,9 
נטע,85 
נטעים,76 
נטף,3 
נילי,8 
נין,36 
ניצן,91 
ניצנה,2 
ניצני עוז,9 
ניצנים,46 
ניר אליהו,15 
ניר בנים,9 
ניר גלים,39 
ניר דוד,5 
ניר ח''ן,35 
ניר יצחק,81 
ניר ישראל,41 
ניר משה,6 
ניר עוז,120 
ניר עם,361 
ניר עציון,15 
ניר עקיבא,5 
ניר צבי,44 
נירים,160 
נירית,14 
נמרוד,30 
נס הרים,17 
נס עמים,46 
נס ציונה,84 
נעורה,2 
נעורים,9 
נעלה,7 
נעמה,2 
נען,43 
נערן,2 
נצר חזני,22 
נצר סרני,49 
נצרת,16 
נריה,6 
נשר,74 
נתיב הגדוד,2 
נתיב הל''ה,16 
נתיב העשרה,359 
נתיב השיירה,57 
נתיבות,77 
נתניה,16 
סאג'ור,15 
סאסא,100 
סביון,43 
סגולה,8 
סואעד חמירה,18 
סולם,9 
סוסיא,10 
סופה,207 
סינמה סיטי גלילות,26 
סכנין,25 
סלמה,7 
סלעית,6 
סנדלה,4 
סנסנה,12 
סעד,142 
סעווה,6 
סעייה-מולדה והפזורה,53 
סער,132 
ספיר,93 
ספסופה - כפר חושן,68 
סתריה,43 
ע'ג'ר,137 
עבדון,108 
עבדת,10 
עברון,82 
עגור,7 
עדי עד,3 
עדנים,25 
עוזה,15 
עוזייר,12 
עולש,12 
עומר,55 
עופר,24 
עופרים,11 
עוצם,22 
עזר,308 
עזריאל,11 
עזריה,25 
עזריקם,57 
עטרת,5 
עידן,13 
עיינות,57 
עילבון,16 
עילוט,17 
עין איילה,14 
עין אל אסד,9 
עין אל סהלה,7 
עין בוקק,11 
עין גב,10 
עין גדי,7 
עין דור,6 
עין הבשור,22 
עין הוד,14 
עין החורש,10 
עין המפרץ,101 
עין הנצי''ב,4 
עין העמק,17 
עין השופט,11 
עין השלושה,129 
עין ורד,13 
עין זיוון,18 
עין חוד,14 
עין חצבה,5 
עין חרוד,6 
עין יהב,2 
עין יעקב,45 
עין כמונים,8 
עין כרמל,13 
עין מאהל,9 
עין נקובא,15 
עין עירון,4 
עין צורים,24 
עין קנייא,39 
עין ראפה,15 
עין שמר,16 
עין שריד,12 
עין תמר,7 
עינבר,7 
עינת,18 
עיר אובות,5 
עכו - אזור תעשייה,112 
עכו,170 
עלומים,96 
עלי זהב,9 
עלי,31 
עלמה,77 
עלמון,10 
עמוקה,85 
עמיחי,3 
עמינדב,24 
עמיעד,35 
עמיעוז,102 
עמיקם,10 
עמיר,74 
עמנואל,7 
עמקה,39 
ענב,22 
עספיא,24 
עפולה,11 
עפרה,5 
עץ אפרים,9 
עצמון - שגב,19 
עראבה,10 
ערב אל נעים,20 
ערב אל עראמשה,208 
ערד,38 
ערוגות,33 
ערערה בנגב,56 
ערערה,66 
עשאהל,5 
עשהאל,5 
עשרת,45 
עתלית,17 
עתניאל,9 
פארן,1 
פארק תעשיות מגדל עוז,5 
פארק תעשיות פלמחים,87 
פארק תעשייה ראם,69 
פדואל,7 
פדויים,20 
פדיה,29 
פוריה כפר עבודה,8 
פוריה נווה עובד,10 
פוריה עילית,8 
פוריידיס,16 
פורת,11 
פטיש,100 
פלך,27 
פלמחים,137 
פני קדם,6 
פנימיית עין כרם,22 
פסגות,4 
פסוטה,95 
פעמי תש''ז,6 
פצאל,3 
פקיעין החדשה,22 
פקיעין,43 
פרדס חנה כרכור,9 
פרדסיה,15 
פרוד,10 
פרי גן,37 
פתח תקווה,53 
פתחיה,32 
צאלון,3 
צאלים,37 
צבעון,88 
צובה,184 
צוחר,28 
צומת בנימינה,11 
צומת דבירה,7 
צומת האלה,5 
צומת הגוש,5 
צופים,12 
צופית,21 
צופר,22 
צוקים,1 
צור הדסה,26 
צור יצחק,9 
צור משה,14 
צור נתן,7 
צוריאל,41 
צורית גילון,34 
ציפורי,21 
צלפון,11 
צמח,8 
צפריה,45 
צפרירים,10 
צפת - נוף כנרת,57 
צפת - עיר,100 
צפת - עכברה,38 
צפת,145 
צרופה,13 
צרעה,12 
קבוצת גבע,7 
קבוצת יבנה,48 
קדומים,14 
קדימה צורן,14 
קדימה-צורן,1 
קדיתא,84 
קדמה,12 
קדמת צבי,39 
קדר,69 
קדרון,59 
קדרים,9 
קדש ברנע,1 
קוממיות,15 
קורנית,21 
קטורה,1 
קיבוץ דן,129 
קיבוץ מגידו,7 
קידה,3 
קידר,5 
קיסריה,18 
קלחים,5 
קליה,4 
קלנסווה,13 
קלע,47 
קסר א-סר,6 
קציר,18 
קצר-א-סיר והפזורה,16 
קצרין - אזור תעשייה,39 
קצרין,57 
קריית אונו,45 
קריית ארבע,7 
קריית אתא,63 
קריית ביאליק,112 
קריית גת,62 
קריית חינוך מרחבים,23 
קריית טבעון - בית זייד,32 
קריית ים,80 
קריית יערים,19 
קריית מוצקין,82 
קריית מלאכי,47 
קריית נטפים,8 
קריית ענבים,16 
קריית עקרון,40 
קריית שמונה,555 
קרית ארבע,1 
קרני שומרון,9 
קשת,16 
ראמה,11 
ראס אל-עין,5 
ראס עלי,19 
ראש הנקרה,166 
ראש העין,41 
ראש פינה,65 
ראש צורים,9 
ראשון לציון,146 
רבבה,8 
רבדים,37 
רביבים,8 
רביד,8 
רגבה,73 
רגבים,17 
רהט והפזורה,17 
רהט,24 
רווחה,14 
רוויה,3 
רוחמה,6 
רומאנה,11 
רומת אל הייב,13 
רועי,3 
רותם,14 
רחוב,99 
רחובות,95 
רחלים,3 
רטורנו - גבעת שמש,10 
ריחאנייה,81 
ריחן,6 
ריינה,17 
רימונים,4 
רינתיה,22 
רכסים,22 
רם און,7 
רמות השבים,21 
רמות מאיר,37 
רמות מנשה,10 
רמות נפתלי,185 
רמות,292 
רמלה,73 
רמת גן,80 
רמת דוד,18 
רמת הכובש,13 
רמת הנדיב,11 
רמת השופט,11 
רמת השרון,40 
רמת טראמפ,11 
רמת יוחנן,27 
רמת ישי,17 
רמת צבי,5 
רמת רזיאל,20 
רנן,12 
רעים,55 
רעננה,33 
רפטינג נהר הירדן,10 
רקפת,22 
רשפון,17 
רשפים,6 
רתמים,8 
שאנטי במדבר,15 
שאר ישוב,157 
שבות רחל,3 
שבי דרום,5 
שבי ציון,73 
שבי שומרון,3 
שבלי,6 
שגב שלום והפזורה,43 
שגב שלום,50 
שדה אברהם,27 
שדה אילן,17 
שדה אליהו,4 
שדה אליעזר,41 
שדה בוקר,6 
שדה בר,8 
שדה דוד,10 
שדה ורבורג,22 
שדה יואב,15 
שדה יעקב,19 
שדה יצחק,9 
שדה משה,22 
שדה נחום,6 
שדה נחמיה,76 
שדה ניצן,22 
שדה עוזיהו,57 
שדה צבי,6 
שדות ים,8 
שדות מיכה,8 
שדי אברהם,2 
שדי חמד,20 
שדי תרומות,3 
שדמה,45 
שדמות דבורה,6 
שדמות מחולה,4 
שדרות,301 
שהם,6 
שואבה,12 
שובה,81 
שובל,7 
שוהם,9 
שומרה,158 
שומריה,8 
שומרת,49 
שוקדה,32 
שורש,34 
שורשים,21 
שושנת העמקים,9 
שזור,11 
שחר,144 
שחרות,1 
שיבולים,25 
שיטים,1 
שייח' דנון,51 
שילה,3 
שילת,8 
שכניה,22 
שלווה,5 
שלוחות,5 
שלומי,366 
שלומית,51 
שלפים,6 
שמיר,69 
שמעה,11 
שמשית,18 
שני ליבנה,10 
שניר,140 
שעב,21 
שעל,77 
שעלבים,10 
שער אפרים,9 
שער הגולן,8 
שער הגיא,5 
